family_id,person_id,has_bio,step,location,family_name,person_name,date,latitude,longitude,individual_description,image_url
yasui,yasui-1,1,1,Hood River,Yasui,Masuo Yasui,11/1/41,45.7091,-121.5212,,
yasui,yasui-1,1,2,Portland,Yasui,Masuo Yasui,12/1/41,45.5234515,-122.6762071,,
yasui,yasui-1,1,3,Missoula,Yasui,Masuo Yasui,12/1/41,46.8605189,-114.019501,,
yasui,yasui-1,1,4,Ft. Sill,Yasui,Masuo Yasui,4/1/42,34.7045595,-98.5090089,,
yasui,yasui-1,1,5,Livingston,Yasui,Masuo Yasui,5/1/42,31.3112936,-92.4451371,,
yasui,yasui-1,1,6,Santa Fe,Yasui,Masuo Yasui,6/1/43,35.6869752,-105.937799,,
yasui,yasui-2,0,1,Hood River,Yasui,Shidzuyo,4/1/42,45.7091,-121.5212,,
yasui,yasui-2,0,2,Pinedale,Yasui,Shidzuyo,5/1/42,36.84437736,-119.8044274,"Portland and Tule Lake; resettled in Great Falls, Montana, May 1943",
yasui,yasui-2,0,3,Tule Lake,Yasui,Shidzuyo,7/1/42,41.8882132,-121.3722116,,
yasui,yasui-2,0,4,"Great Falls, Montana",Yasui,Shidzuyo,5/1/43,47.5048,-111.2985,,
yasui,yasui-2,0,5,Denver,Yasui,Shidzuyo,6/1/43,39.7468,-104.9167,,
yasui,yasui-3,0,1,Hood River,Yasui,Ray Tsuyoshi,4/1/42,45.7091,-121.5212,,
yasui,yasui-3,0,2,Pinedale,Yasui,Ray Tsuyoshi,5/1/42,36.84437736,-119.8044274,,
yasui,yasui-3,0,3,Tule Lake,Yasui,Ray Tsuyoshi,7/1/42,41.8882132,-121.3722116,,
yasui,yasui-3,0,4,"Great Falls, Montana",Yasui,Ray Tsuyoshi,5/1/43,44.5263422,-109.0565308,,
yasui,yasui-3,0,5,Hood River,Yasui,Ray Tsuyoshi,4/1/45,45.7091,-121.5212,,
yasui,yasui-4,0,1,Hood River,Yasui,Mikie Yasui,4/1/42,45.7091,-121.5212,,
yasui,yasui-4,0,2,Pinedale,Yasui,Mikie Yasui,5/1/42,36.84437736,-119.8044274,,
yasui,yasui-4,0,3,Tule Lake,Yasui,Mikie Yasui,7/1/42,41.8882132,-121.3722116,,
yasui,yasui-4,0,4,"Great Falls, Montana",Yasui,Mikie Yasui,6/1/43,47.5048,-111.2985,,
yasui,yasui-4,0,5,"Hood River, Oregon",Yasui,Mikie Yasui,4/1/45,45.694,-121.5202,,
yasui,Yasui-5,0,1,Tule Lake,Yasui,Joan Kay Yasui,7/1/42,41.8882132,-121.3722116,,
yasui,Yasui-5,0,2,"Great Falls, Montana",Yasui,Joan Kay Yasui,6/1/43,47.5048,-111.2985,,
yasui,Yasui-5,0,3,"Hood River, Oregon",Yasui,Joan Kay Yasui,4/1/45,45.694,-121.5202,,
yasui,Yasui-6,1,1,Chicago,Yasui,Minoru,12/7/41,41.8778,-87.6253,Second son famously challenged the curfew and exclusion in the courts. Went to Portland and Minidoka and also served a nine-month jail sentence before resettling in Denver.,
